comments,Negative,Neutral,Positive
httpswwwyoutubecomwatchvqmwyxixnj,0.1071566641330719,0.8144521713256836,0.07839113473892212
 omgggg,0.34179359674453735,0.4929359257221222,0.16527046263217926
hi,0.20451168715953827,0.5521487593650818,0.24333961308002472
httpsyoutubevhisro,0.16215617954730988,0.6482424736022949,0.189601331949234
for informationnhttpswwwyoutubecomwatchvkixwcgrea,0.061265185475349426,0.8736034035682678,0.06513141840696335
aye aye,0.2023906409740448,0.5486454367637634,0.2489638775587082
s a,0.2745053768157959,0.533414363861084,0.19208022952079773
iphone  ,0.052180927246809006,0.6764125227928162,0.2714065909385681
httpsyoutubekqhvhhotcw  billion views whatsapp status,0.09544502943754196,0.8123746514320374,0.09218030422925949
bombo telefon,0.19317343831062317,0.6476872563362122,0.1591392606496811
harish kalyans gibberish language task golden ticket bigg boss tamilnnhttpsyoutubezzewjuqbck,0.11789606511592865,0.8274989724159241,0.05460495874285698
please click tha link,0.045135363936424255,0.8645491600036621,0.09031549096107483
httpsyoutubevhgbeuw,0.15422730147838593,0.6643688082695007,0.18140390515327454
amazing ,0.020240332931280136,0.17796102166175842,0.8017986416816711
apple ist scheie samsung ist besser,0.1541641801595688,0.7235743403434753,0.12226145714521408
good job,0.019740475341677666,0.11310146003961563,0.867158055305481
usenmeden izleyenleri hastaneye aliyoruz,0.17739926278591156,0.7355394959449768,0.08706121146678925
yo ya compre el iphone,0.045210279524326324,0.755010724067688,0.19977900385856628
songs,0.07478415966033936,0.7211363315582275,0.20407947897911072
eeee imdi burda ne olcak ama ne,0.1735137701034546,0.7661699652671814,0.06031623110175133
good job steve jobs rip,0.05353155732154846,0.26974180340766907,0.6767266988754272
good job plz watch realistic artwork httpsyoutubehqjlyras,0.01405660156160593,0.18546949326992035,0.8004739284515381
schlechtes iphone,0.06054370105266571,0.764647901058197,0.1748083233833313
httpsyoutubertqxhssqi,0.21703892946243286,0.7253251075744629,0.057635996490716934
omg  hours,0.21106567978858948,0.6813908815383911,0.10754342377185822
same samsang s,0.24209868907928467,0.617469310760498,0.1404319703578949
fulckoing shoit mo stolp copyinh samsoung,0.12530699372291565,0.8190827965736389,0.05561022087931633
eh c kii ce favoritisme lui il tou led iphone apple watch ipad macbook en avance est gratuit wallah je reflechi une idee poire wow adore je suis riche mdrr sa arrivera qau autre,0.009971095249056816,0.22992192208766937,0.7601070404052734
mamadijovideoantesdelacama,0.13579531013965607,0.7368791103363037,0.12732559442520142
 hours wtf,0.7155418992042542,0.25702476501464844,0.027433348819613457
iphone  ckm way ayku,0.035082995891571045,0.7914363741874695,0.17348068952560425
snapabood,0.21059675514698029,0.5829087495803833,0.2064945548772812
nadie vio este video completo ,0.06948589533567429,0.8135541677474976,0.11696003377437592
the iphone died steve jobs,0.6893177628517151,0.2909097969532013,0.019772378727793694
httpsmfacebookcomquestionsphpquestionid vote lise meitner gymnasium pleeaaaase,0.0627627894282341,0.7476865649223328,0.18955065310001373
nice job,0.020742904394865036,0.12463714927434921,0.8546199798583984
yes afford iphone ,0.018330400809645653,0.36544421315193176,0.6162253618240356
httpsyoutubeacmdkbaqnabout iphone,0.1217825785279274,0.8221885561943054,0.05602887645363808
httpsyoutubepgvesyvam,0.12551061809062958,0.730939507484436,0.14354990422725677
httpsyoutubevxczuiiqo,0.1464739739894867,0.7003882527351379,0.15313775837421417
fuck beech,0.9417926073074341,0.04796958714723587,0.010237823240458965
piece shit,0.8592516183853149,0.113139308989048,0.027609076350927353
 kidney phone,0.19652339816093445,0.6058457493782043,0.1976308524608612
xddd,0.24816317856311798,0.5379787683486938,0.21385803818702698
steve jobs v,0.125322163105011,0.7579188346862793,0.11675890535116196
httpsyoutubemwtvudstii,0.15030713379383087,0.7346673011779785,0.1150256097316742
apple always awesome nnhttpsyoutuberftzmxyp,0.0014825828839093447,0.023974213749170303,0.9745432138442993
les francais abonnez vous la chaine de tim svp il est genial,0.05852433666586876,0.8497075438499451,0.0917680487036705
y habr gente que se compre el puto iphone x os creeis ricos o algo jajajajaj venga ya hombre que luego en casa comeis mierda por haberos comprado un movil de  pavos que sois unos moditas xd,0.045606378465890884,0.8647833466529846,0.089610256254673
hallo wie gehts dir tschss bis nchstes mal bye bye,0.28368130326271057,0.6650904417037964,0.05122832581400871
cinei moldovan sau romn pe aici,0.12634903192520142,0.7941480875015259,0.0795029029250145
apple terrible care money,0.8159255385398865,0.1669853776693344,0.017089126631617546
 apple make shitty products hope wont exist  years time,0.948331892490387,0.04637660086154938,0.005291501525789499
does anyone ,0.18879514932632446,0.6903825402259827,0.12082226574420929
where steve wozniak fuck apple authority,0.7507408261299133,0.23020167648792267,0.01905745081603527
dat price doh,0.21973975002765656,0.6791120767593384,0.10114816576242447
nice video ncheck videos also nplease subscribe ,0.0032508487347513437,0.07263408601284027,0.9241150617599487
httpsyoutubejichkqkeosnapple iphone x hands review,0.03433658182621002,0.8654298186302185,0.10023356974124908
ill sell this,0.09026101976633072,0.6215503215789795,0.2881886065006256
do save people muslims burma,0.2956085801124573,0.6590821743011475,0.045309267938137054
where iphone ,0.11271482706069946,0.7654458284378052,0.12183932960033417
wow apples starting ideas galaxy ,0.013456550426781178,0.26097726821899414,0.7255662083625793
birby,0.1481933444738388,0.6168100237846375,0.23499654233455658
fuck want money,0.8273587822914124,0.15167970955371857,0.020961493253707886
emma rd trending page time comment whoop,0.04517412558197975,0.8145946860313416,0.1402311772108078
i love genetics extension parents wont let think people behind try frame crime nnnyeah,0.1090344786643982,0.3327360153198242,0.5582294464111328
emma find marry ncook youngive massage youre tirednlisten day wasnhug nand love ni know sounds creepy af ,0.6162502765655518,0.34365296363830566,0.04009680449962616
well seems like total waste money would anyone want dna companies database anyway maybe didnt think thoughnhow anyone know information used future lets hope doesnt decide microchip implanted next,0.8046118021011353,0.18666896224021912,0.008719243109226227
a lot people north european countries vikings danes saxons angles normans etc invading past reproducing other,0.39297959208488464,0.5827038288116455,0.0243165735155344
and didnt exist made choke water,0.5389280319213867,0.43695327639579773,0.024118762463331223
ive actually using charcoal powder couple months noticed huge improvement whitening general hygiene teeth heres post facebook company buy fromnndo want beautiful sparkling teeth naturallynlimited time offer wwwcosmeticbenefitcom,0.003917704802006483,0.08732134848833084,0.9087609648704529
the first youtuber time passed actually got better,0.004962029401212931,0.06710740178823471,0.9279305338859558
broadly northwest european mean scandinavian could mean british irish french dutch german etc scandinavian,0.06883064657449722,0.8768497109413147,0.05431964993476868
my prediction watching video  canadian,0.09141859412193298,0.8472514748573303,0.061329931020736694
awww fart noise end ,0.8765805959701538,0.11077753454446793,0.012641877867281437
do know number  trending,0.10012181848287582,0.8394021987915039,0.06047603860497475
i clicked video say fuck clickbait title feed,0.9124940633773804,0.08170635998249054,0.005799599923193455
anyone know get shirt emma wearing absolutely love it,0.0018127448856830597,0.023416435346007347,0.9747708439826965
when said yeah lot freckles like  ish thats lot freckles,0.04221070930361748,0.5813904404640198,0.3763989210128784
oh going live forever imagine salt spread,0.1402156949043274,0.7318100333213806,0.1279742568731308
emma slightly younger jen barber crowd aaaaaaaahhh,0.026587510481476784,0.7034913897514343,0.26992112398147583
i already know dna makeup looked clothes drawnnnnwhat thats keep jeansnnnimsorryillgonow,0.18741925060749054,0.7528867721557617,0.05969402194023132
i havent done test youtuber lot videos viewers interest previously mentioned nordic damn proud d,0.20934103429317474,0.6419035792350769,0.14875535666942596
emma blackery like ellie blackery know last us,0.14811046421527863,0.8084033131599426,0.04348623752593994
i found ur book tescos today also found ryan higass book insert joke here,0.01786288246512413,0.6194349527359009,0.3627021312713623
emmas album shown apple presentation live,0.010095881298184395,0.8269509077072144,0.16295316815376282
emma im never gonna die nme hahaha wish could say w sweats nervously,0.10293541848659515,0.5166969895362854,0.38036760687828064
no genetic markers hereditary disease genetically predisposed superior muscle massnntime get hot eugenics breeding action,0.34091100096702576,0.610938310623169,0.048150625079870224
hi hi reason many swedish viewers antisocial spend lives internet,0.6478376388549805,0.33855897188186646,0.013603403232991695
youre intolerant dairy youre baby cow,0.9612137079238892,0.03552685305476189,0.003259493038058281
considering history isles itd unusual scandinavian germanic french markers dna,0.06197516992688179,0.8880018591880798,0.050023019313812256
i love says attached lol,0.013656732626259327,0.12260556221008301,0.8637377619743347
you keep looking time time keep updating it,0.05754779651761055,0.7051751017570496,0.2372771054506302
so since emma never gonna die mean shell keep making videos forever cuz thatd something see,0.09031016379594803,0.6460482478141785,0.2636415958404541
give thumbs ok im going,0.0214375052601099,0.45537427067756653,0.5231882333755493
these tests antirely useless give wrong misleading answers swedish britisch german french genes people moved thousands years around world always mixture genes could say specific gene british companies say compared dna results reference populations currently database estimated similar terms genetic markers carry doesnt necessarily mean belong groups directly regions groups similar genetic matchnso careful think test tells you,0.6672297120094299,0.3075481951236725,0.025222143158316612
well vikings pillage shag way england hundred years shouldnt surprised british person least scandinavian them,0.5730833411216736,0.4084119498729706,0.018504725769162178
emma please get dan send dna labnnits definitely make demmano no,0.20383848249912262,0.700261652469635,0.09589982032775879
i actually interested thisand said much lol,0.00466775381937623,0.08121378719806671,0.9141184091567993
yaay probably related welcome scandinavian family,0.0026406296528875828,0.1594652533531189,0.8378941416740417
lol asparagus one means likely smell weird pee smell someone eats asparagus everyone notices change smell,0.563930094242096,0.40333807468414307,0.0327318049967289
its smell asparagus asparagus pee,0.8898477554321289,0.10008911043405533,0.010063120163977146
ashkenazi jewish jews originated europe like d,0.24222241342067719,0.7344369888305664,0.02334059216082096
i love editing this,0.005875804461538792,0.02160954847931862,0.9725146293640137
just know ashkenazi jewish jewish came europe spain youre welcome,0.00827096402645111,0.24678926169872284,0.7449397444725037
its pretty flattering everyone gets excited find theyre scandinavian,0.002318335697054863,0.026356441900134087,0.971325159072876
why would wanna taste myself,0.7181006073951721,0.2693086266517639,0.012590784579515457
i love tshirt youre wearing,0.001778476987965405,0.009764487855136395,0.9884570240974426
when someones diet changes drastically substantially alters makeup bacterial flora fauna digestive system genetics damned case think waging bacterial genocide people become intolerant foods tolerated before,0.8112826347351074,0.18309353291988373,0.005623873323202133
yes us swedes love you,0.002105304505676031,0.030073238536715508,0.967821478843689
wasnt me huge scandal long ago werent giving accurate info peoples genetic health,0.6425107717514038,0.34274938702583313,0.014739844016730785
it conspiracy nwo collecting everyones generic data know clone m,0.12092828750610352,0.8397603631019592,0.03931135684251785
thats adore practically mine pewds relative ,0.005801504477858543,0.10983356088399887,0.884364902973175
totally worth itnnwelcome immortality cool kids hangout,0.0018059129361063242,0.03429746627807617,0.9638965725898743
hey emma im pretty sure related mean youre  finnish im finnish also youre mom proof,0.047137755900621414,0.7196237444877625,0.23323842883110046
we swedes sniff ,0.23153463006019592,0.6881399750709534,0.08032544702291489
im denmark watching,0.04914846271276474,0.8764958381652832,0.07435564696788788
tbh im probs gonna get alzheimers grandads got it,0.47139665484428406,0.45527398586273193,0.07332932204008102
it made happy see dave video love content opinion deserves recognition thank giving credit emma x,0.001543905003927648,0.016707364469766617,0.9817487597465515
give thumbs nheu heu heu thats said nyes know hate ,0.4858773946762085,0.46799296140670776,0.046129610389471054
mine said im likely get parkinsonsmy nan dis parkinsons skipped dad im genuinely worried ,0.6838431358337402,0.2922671437263489,0.02388974465429783
its mystic meg again,0.059100471436977386,0.8617584705352783,0.07914107292890549
das lot edditing done like d,0.1290915459394455,0.8006808757781982,0.07022758573293686
but cola addiction back day lot caffeine ,0.26679831743240356,0.6503546237945557,0.08284708857536316
now im curious dna,0.11095407605171204,0.7979496121406555,0.09109633415937424
anyone else see lip stick mark neck thats shade lipstick,0.10000601410865784,0.8539333343505859,0.04606068879365921
wtf notifications yet got notification  hour ago,0.4618363678455353,0.49322962760925293,0.04493406042456627
northwestern european pretty vague cause would include uk well,0.031144924461841583,0.7504581809043884,0.21839693188667297
now questionnnwho europe narrow eyesnntell please,0.15298892557621002,0.8109086751937866,0.03610238805413246
haha sorry disappoint emma youre scandinavian dna profile would give percentage scandinavian broadly northwestern european dna dna usually british isles france unknown pinpointed either places take look buzzfeed dna videos,0.2993759512901306,0.6355846524238586,0.06503939628601074
it doesnt mean smell asparagus means pee smells eat asparagus,0.5965785980224609,0.37494033575057983,0.02848110906779766
its myth neanderthals stupid actually brainpower humans time got assimilated,0.9252746105194092,0.07012835144996643,0.0045970771461725235
that thing smelling asparagus means eat asparagus pee pee strange smell everybody smell it,0.6351103186607361,0.3358691930770874,0.029020536690950394
emma super whitenin news,0.019794825464487076,0.7170233130455017,0.26318177580833435
your pretty,0.005395200103521347,0.0633334070444107,0.9312714338302612
hi,0.20451168715953827,0.5521487593650818,0.24333961308002472
love accent ,0.011551277711987495,0.0832083448767662,0.9052403569221497
number  trending,0.0793016254901886,0.8363615274429321,0.08433685451745987
welcome scandiworld,0.004633610602468252,0.2807902991771698,0.7145760655403137
who else scorpio ,0.0746203362941742,0.8187918663024902,0.10658775269985199
rd trending well done emma,0.004118676297366619,0.11008226871490479,0.8857990503311157
i like yout ikea furnitureit sure exite me,0.004347348585724831,0.09046822786331177,0.9051843881607056
emma stop quoting mrburns p,0.49897849559783936,0.47980427742004395,0.02121715620160103
be thankfull emma ur deer ,0.008754710666835308,0.20405356585979462,0.7871917486190796
love ur top em,0.005649177823215723,0.06865449994802475,0.9256963133811951
im swedish,0.10692846029996872,0.8039447665214539,0.08912672847509384
hah immortal ,0.03953276574611664,0.45045170187950134,0.5100155472755432
wait  blackberry,0.1285279542207718,0.8091979622840881,0.06227407604455948
what amazing clickbait title,0.1739291101694107,0.3219486474990845,0.504122257232666
sweden ,0.12674888968467712,0.724724531173706,0.14852659404277802
im norwegian,0.1919829100370407,0.7099971175193787,0.09801995009183884
jewish peaple r israel,0.6453167200088501,0.34315037727355957,0.011532898060977459
nice clickbait got d,0.23869390785694122,0.5242464542388916,0.23705963790416718
im first immortal lmao,0.08950868248939514,0.6916458010673523,0.2188454568386078
you look hot af,0.0030933450907468796,0.025119571015238762,0.9717870950698853
man eyeliner getting ocd hahaha anyone agreeing,0.12754607200622559,0.7177074551582336,0.15474647283554077
vlkommen till familjen emma,0.14427320659160614,0.7761792540550232,0.07954753190279007
please get trending,0.0345146618783474,0.6414362192153931,0.32404905557632446
rdontrending,0.19051368534564972,0.6815158128738403,0.12797047197818756
 trending,0.11976776272058487,0.7156937718391418,0.1645384281873703
im never going die,0.2299766093492508,0.5500206351280212,0.22000271081924438
test results  ideal woman called it,0.07338304817676544,0.7834629416465759,0.1431540697813034
her genetics pure must breed her,0.04545047506690025,0.7627409100532532,0.19180859625339508
e arabic never conversation relatives dads side always turns awkward exchange love yous thats one english phrases know,0.5815795660018921,0.3654116988182068,0.05300874263048172
 going send chapstick use it,0.04177425056695938,0.8110959529876709,0.1471298635005951
ower disease care cure keep caring others best life,0.03347482904791832,0.2721223533153534,0.6944028735160828
his guy makes great videos shame hes fat,0.07197325676679611,0.23295876383781433,0.6950680017471313
ol guys vids short prob funnier internet,0.03333275020122528,0.37156376242637634,0.5951035618782043
isit channel want access straight pathnvisit channel listen holy quran last book godto humanitynvisit channel want reach happiness comfort life hereafter,0.02595769613981247,0.6388554573059082,0.3351868689060211
hy keep freaking laughing time watch even though know end omg best ,0.00545100960880518,0.033508747816085815,0.9610402584075928
th uk trending making big man,0.016567718237638474,0.7278685569763184,0.25556379556655884
his guy makes wish vine wasnt dead,0.3185250461101532,0.6001399755477905,0.08133504539728165
hen tourists try ask something,0.1048513725399971,0.8490997552871704,0.04604886472225189
ub channel,0.18380825221538544,0.661443829536438,0.1547478288412094
ell wasnt worth watching,0.9102962017059326,0.08221723139286041,0.007486563641577959
hen live mexico youre superwhite,0.018691886216402054,0.4002648591995239,0.5810431838035583
ou say korean bd somehow acted oh speak korean perfectly think video gets much reaction excellent acting,0.011279376223683357,0.14467035233974457,0.8440502882003784
e sounds like tyrion lannister game thrones,0.1418706327676773,0.7931906580924988,0.06493879854679108
ame tried talking cousin language ive never even heard lol,0.3890775144100189,0.5133345723152161,0.09758786857128143
y girlfriend cheated like  years ago ive recently found wasnt even girlfriend didnt even exist suffer complex mental disorder distorts reality turns iused hump mums leg every thursday evening last  years,0.8963173627853394,0.09884022921323776,0.00484238239005208
hen grandma tries talk spanish,0.16497647762298584,0.7843746542930603,0.050648827105760574
hat actually funny,0.026808863505721092,0.27653539180755615,0.6966557502746582
n wallnnwell bryan strong offensive sakuras part unfortunately opponent dumb,0.6821320652961731,0.30068305134773254,0.017184872180223465
hat happened  polish people spoke polish,0.27232232689857483,0.6757283806800842,0.05194926634430885
his avoid relatives,0.2664872407913208,0.7042999863624573,0.02921280823647976
 struggle englishand language,0.36049163341522217,0.5922278761863708,0.047280460596084595
e family parties,0.06432291120290756,0.8126738667488098,0.12300319224596024
ub sub back  accounts comment subbed,0.13983787596225739,0.787959098815918,0.07220300287008286
ing pig face,0.8194052577018738,0.15717628598213196,0.023418493568897247
ot even iphone x detect youre blinking hahaha,0.10923677682876587,0.6844819188117981,0.20628125965595245
id anyone realise sonic music,0.2630212903022766,0.7028209567070007,0.03415772318840027
his funny fuck get  trending ,0.7253157496452332,0.20983625948429108,0.06484804302453995
e go dominican republic,0.11348948627710342,0.7764220237731934,0.11008841544389725
ow original got sub gunfacefuck,0.8993180990219116,0.09286150336265564,0.007820432074368
hen im talking japanese teachers ,0.17925040423870087,0.7633752226829529,0.05737438425421715
ub reply done subscribe u aint joking,0.2650572657585144,0.6470502614974976,0.08789245039224625
 disappointed level comedy reached,0.8352210521697998,0.1442422866821289,0.020536592230200768
hy captions korean,0.13193875551223755,0.792547345161438,0.07551386207342148
e trying talk korean comments instagram,0.06681337207555771,0.8609582185745239,0.07222838699817657
 wanna hug face cute,0.004629936534911394,0.1218479797244072,0.8735220432281494
ike meet celebrity nsubscribe become billionairenscroll updown death everyone love,0.07922787219285965,0.4422445297241211,0.47852760553359985
hen talk crush,0.20804376900196075,0.7239789366722107,0.06797727197408676
he sonic music really icing cake lmao,0.012723528780043125,0.1724284142255783,0.8148480653762817
hy people call certain nationality dont even know language,0.7160007953643799,0.2750464081764221,0.008952765725553036
 beat kid like highschool hate dorky ass asians xd,0.9634692668914795,0.032025232911109924,0.004505464341491461
our writing really good laughed laughed one,0.003080748487263918,0.023910649120807648,0.9730086326599121
he sonic air timer perfect,0.025754647329449654,0.3047559857368469,0.6694893836975098
ven native korean speaker sounds like foreigner xd,0.261837363243103,0.686165988445282,0.0519966259598732
ey guys started youtube really need subs sub sub back,0.09072203189134598,0.7485024929046631,0.16077543795108795
m great comedian gotten millions views thought suicide thinking drowning many times wanna save please dm instagram comedianthefreshman say might better kevin hart,0.030123285949230194,0.23137733340263367,0.7384993433952332
his lol,0.04749980941414833,0.5116572976112366,0.440842866897583
ey small youtube account im struggling take id really appreciate could take look type thing dont subscribe understand worth try,0.1759181022644043,0.5232767462730408,0.30080512166023254
y life hate mexican speaking spanish im also part black dont know speak language grandmother speaks dont even know name,0.9455664753913879,0.05175108462572098,0.002682424383237958
ude first video saw fucking hilarious,0.11919989436864853,0.2337631732225418,0.6470369696617126
orry dont speak spanish,0.48098501563072205,0.4860217571258545,0.03299320116639137
e speaking japanese exchange student speaks quickly speak japanese moderately uh damnit cant understand speaks fast xd guess need learn listen better,0.6154760122299194,0.3403571844100952,0.04416681081056595
eah speak korean video fucking stupid,0.9717077016830444,0.02531130239367485,0.0029809847474098206
hen pay bills,0.35544803738594055,0.5600767731666565,0.08447515964508057
ow trending omg thats case way views should,0.017811253666877747,0.3248429298400879,0.6573457717895508
n comment section people relating trying speak spanish,0.2883484661579132,0.6714831590652466,0.04016836732625961
hats me,0.07665017247200012,0.6814430356025696,0.2419067919254303
hy guy always trending,0.22956836223602295,0.6690228581428528,0.10140877217054367
hen grandparents try talk japanese make one word,0.15670190751552582,0.7883623242378235,0.0549357570707798
e french emersion class,0.0699019506573677,0.8722726702690125,0.05782536417245865
tf this,0.4608994722366333,0.44675305485725403,0.09234748780727386
mg same,0.43619129061698914,0.4685688316822052,0.09523987770080566
im yung bastard,0.8761805891990662,0.11363594979047775,0.010183461010456085
ati,0.239200159907341,0.5074491500854492,0.2533506751060486
 rewatch monthly girls nozaki kun,0.024990905076265335,0.8800247311592102,0.09498441964387894
e tyotinkas,0.19779574871063232,0.6535431742668152,0.1486610621213913
e thai lol,0.06786996126174927,0.7205186486244202,0.21161137521266937
elatable regardless language,0.15012215077877045,0.7577254772186279,0.09215238690376282
omment,0.2429589033126831,0.6239416003227234,0.1330994814634323
ani,0.19787383079528809,0.6070785522460938,0.1950475573539734
hen tell chinese friends im learning chinese start speaking like im fluent im like ,0.04425882175564766,0.6745251417160034,0.28121596574783325
oo sonic drowning theme,0.18960551917552948,0.7587360143661499,0.051658518612384796
ssdrug bagnnnnnfuck,0.9454254508018494,0.04641275480389595,0.008161746896803379
ulture shock likenn httpsgooglimagesfwcqv ,0.2461758852005005,0.6891149282455444,0.06470922380685806
 relate,0.25435829162597656,0.5404317378997803,0.20520997047424316
till gay ,0.3939736485481262,0.5451925992965698,0.060833752155303955
ou uglu small dicked mother fucker,0.9699857234954834,0.02614024467766285,0.003874154295772314
tf thiswhy tf trending,0.7401806116104126,0.23806288838386536,0.02175651304423809
hapstik please use some,0.10318844020366669,0.8219863772392273,0.07482515275478363
rending again,0.08665339648723602,0.8019953370094299,0.11135131865739822
o  trending impressive,0.006232449319213629,0.15536044538021088,0.8384071588516235
unfacefuck,0.924646258354187,0.06221151724457741,0.013142209500074387
his dudes videos r always funny,0.00428889412432909,0.061581049114465714,0.9341301321983337
uns suicide offensive offensive offensive demonetise,0.8503740429878235,0.143207848072052,0.006418053526431322
 still ugly tho,0.7197043299674988,0.2484525442123413,0.03184317797422409
his got trending pewds response video didnt good jop guys,0.42873579263687134,0.4506213366985321,0.12064290046691895
roductos de moda una calidadprecio muy interesante nnchale un vistazo y seguramente puedas evitar comprar algo nenvio desde nnhttpsyoutuberzwhcfffcw,0.07146935909986496,0.8689307570457458,0.05959989130496979
lease everybody visit channel new youtubernhttpswwwyoutubecomeditouvideoidkiauqmsc,0.007581396494060755,0.5891649723052979,0.40325361490249634
ou one ugly fat fuck gene gods good you,0.963682234287262,0.031394172459840775,0.004923691973090172
his like japanese,0.08809489011764526,0.8035559058189392,0.10834914445877075
he hidden survival muscle body missed modern physicians keep millions men womenndefeated pain frustrated belly fat struggling feel energized every day httpbitlyfkhsa,0.2288961261510849,0.6439991593360901,0.1271047741174698
 talked french guy waynni said park cornournhe understood pakistani connardnnmy surgery went succesful,0.005442846566438675,0.1708984673023224,0.8236587047576904
 n n y e o n g h e y o,0.36672350764274597,0.5605644583702087,0.07271208614110947
e every time got korean market mom,0.09684555232524872,0.8078270554542542,0.09532736241817474
 see lot anime behind you,0.04653487727046013,0.8451328873634338,0.10833227634429932
 dont get humor must  under,0.6345158815383911,0.3410872220993042,0.024396875873208046
mao kprean accent cute ,0.007438361179083586,0.16923828423023224,0.8233233690261841
i love jumper get from,0.02024707943201065,0.12390348315238953,0.8558493852615356
does anybody know pink blue cushion left from,0.06765203922986984,0.8832972049713135,0.04905077815055847
i really hoping going say celeste celestial name,0.011376488953828812,0.4117388427257538,0.5768846869468689
i new daughter named disney anna,0.02112322300672531,0.8845376968383789,0.09433913975954056
i love name lilibet queens nickname,0.003907296806573868,0.04174581915140152,0.9543468952178955
such fun tag ill definitely giving one go im  weeks pregnant second ,0.0035925782285630703,0.0647607073187828,0.9316467642784119
my daughters name lacey ,0.04820600152015686,0.8038763999938965,0.14791759848594666
sorry like name hunter reminded paranormal activity,0.6650007963180542,0.32519039511680603,0.009808812290430069
i love boys name grey xx,0.0021283214446157217,0.017971323803067207,0.9799003005027771
i love name joy xx,0.0024867262691259384,0.0220123790204525,0.9755008816719055
my name going bronte kitty edmonds haha,0.0072065251879394054,0.4796215891838074,0.513171911239624
my middle name given older sister april oneill ninja turtles sister  could chosen unusual name favourite tv shows including moondreamers cleverly chose april ,0.020515037700533867,0.6021683216094971,0.3773166835308075
im kinda sad little daniel ,0.779803454875946,0.20238231122493744,0.017814302816987038
my twin sister called kitty ,0.0621635839343071,0.8283122181892395,0.10952425748109818
awww sons name hunter ,0.4976406991481781,0.47293877601623535,0.029420459643006325
omg love chelsea family definitely watch outdaughtered tlc amazing,0.001999993808567524,0.009753843769431114,0.9882461428642273
when next collab daniel howell xx,0.008268206380307674,0.7664487957954407,0.22528299689292908
i love indigo little girl xx,0.002348698442801833,0.011755353771150112,0.9858959317207336
